Time,Volume,Open,High,Low,Close
2020-05-13T23:33:25.000000000Z,1,7.75110,7.75110,7.75110,7.75110
2020-05-13T23:33:30.000000000Z,1,7.75110,7.75110,7.75110,7.75110
2020-05-13T23:34:00.000000000Z,1,7.75110,7.75110,7.75110,7.75110
2020-05-13T23:34:10.000000000Z,1,7.75108,7.75108,7.75108,7.75108
2020-05-13T23:34:15.000000000Z,1,7.75110,7.75110,7.75110,7.75110
2020-05-13T23:34:20.000000000Z,1,7.75112,7.75112,7.75112,7.75112
2020-05-13T23:34:35.000000000Z,1,7.75113,7.75113,7.75113,7.75113
2020-05-13T23:35:35.000000000Z,1,7.75113,7.75113,7.75113,7.75113
2020-05-13T23:35:40.000000000Z,1,7.75114,7.75114,7.75114,7.75114
2020-05-13T23:36:10.000000000Z,2,7.75113,7.75114,7.75113,7.75114
2020-05-13T23:36:25.000000000Z,1,7.75114,7.75114,7.75114,7.75114
2020-05-13T23:36:50.000000000Z,1,7.75114,7.75114,7.75114,7.75114
2020-05-13T23:37:25.000000000Z,2,7.75114,7.75114,7.75113,7.75113
2020-05-13T23:37:35.000000000Z,1,7.75112,7.75112,7.75112,7.75112
2020-05-13T23:41:45.000000000Z,1,7.75111,7.75111,7.75111,7.75111
2020-05-13T23:46:05.000000000Z,1,7.75112,7.75112,7.75112,7.75112
2020-05-13T23:48:35.000000000Z,1,7.75111,7.75111,7.75111,7.75111
2020-05-13T23:54:00.000000000Z,2,7.75109,7.75109,7.75106,7.75106
2020-05-13T23:54:05.000000000Z,1,7.75104,7.75104,7.75104,7.75104
2020-05-13T23:54:10.000000000Z,3,7.75104,7.75104,7.75102,7.75102
2020-05-13T23:59:45.000000000Z,3,7.75104,7.75104,7.75102,7.75102
2020-05-14T00:00:45.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T00:01:05.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T00:03:55.000000000Z,1,7.75100,7.75100,7.75100,7.75100
2020-05-14T00:04:00.000000000Z,2,7.75099,7.75099,7.75099,7.75099
2020-05-14T00:04:15.000000000Z,2,7.75098,7.75100,7.75098,7.75100
2020-05-14T00:04:20.000000000Z,3,7.75101,7.75102,7.75100,7.75100
2020-05-14T00:05:00.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T00:05:15.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T00:05:20.000000000Z,1,7.75102,7.75102,7.75102,7.75102
2020-05-14T00:09:05.000000000Z,4,7.75100,7.75100,7.75094,7.75094
2020-05-14T00:09:10.000000000Z,1,7.75094,7.75094,7.75094,7.75094
2020-05-14T00:09:40.000000000Z,1,7.75094,7.75094,7.75094,7.75094
2020-05-14T00:11:10.000000000Z,1,7.75093,7.75093,7.75093,7.75093
2020-05-14T00:12:15.000000000Z,2,7.75094,7.75094,7.75094,7.75094
2020-05-14T00:12:45.000000000Z,1,7.75094,7.75094,7.75094,7.75094
2020-05-14T00:13:10.000000000Z,1,7.75094,7.75094,7.75094,7.75094
2020-05-14T00:14:55.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:15:35.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:15:50.000000000Z,2,7.75097,7.75097,7.75096,7.75096
2020-05-14T00:19:05.000000000Z,3,7.75098,7.75099,7.75098,7.75099
2020-05-14T00:20:25.000000000Z,5,7.75098,7.75100,7.75098,7.75100
2020-05-14T00:20:35.000000000Z,3,7.75100,7.75100,7.75100,7.75100
2020-05-14T00:21:00.000000000Z,4,7.75100,7.75101,7.75099,7.75099
2020-05-14T00:21:45.000000000Z,1,7.75098,7.75098,7.75098,7.75098
2020-05-14T00:21:50.000000000Z,3,7.75099,7.75099,7.75098,7.75099
2020-05-14T00:22:05.000000000Z,9,7.75098,7.75099,7.75098,7.75098
2020-05-14T00:22:10.000000000Z,6,7.75099,7.75099,7.75098,7.75098
2020-05-14T00:22:15.000000000Z,8,7.75099,7.75099,7.75098,7.75098
2020-05-14T00:22:20.000000000Z,4,7.75099,7.75099,7.75098,7.75098
2020-05-14T00:23:20.000000000Z,1,7.75098,7.75098,7.75098,7.75098
2020-05-14T00:23:25.000000000Z,1,7.75099,7.75099,7.75099,7.75099
2020-05-14T00:25:50.000000000Z,1,7.75099,7.75099,7.75099,7.75099
2020-05-14T00:25:55.000000000Z,2,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:26:40.000000000Z,1,7.75097,7.75097,7.75097,7.75097
2020-05-14T00:27:05.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:27:45.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:28:05.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:31:35.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:34:55.000000000Z,1,7.75096,7.75096,7.75096,7.75096
2020-05-14T00:35:40.000000000Z,1,7.75096,7.75096,7.75096,7.75096
